folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
61_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0423,,692.869815,17.769287,8.666564,6.187018,3.256954,0.578462,0.984213
62_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0429,,693.23644,17.051398,8.510058,6.258743,1.283614,1.844129,1.018874
63_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0435,,692.795455,17.273,8.223602,6.13521,1.127468,0.701872,0.914372
64_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0441,,692.370533,17.10432,8.307687,6.135555,1.11425,0.697767,0.968997
65_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0447,,692.990812,17.814978,8.587894,6.253796,1.661597,0.605998,1.065271
66_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0453,,692.499371,16.556573,8.850707,6.864723,1.967984,0.845537,0.954389
67_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0459,,692.2746,16.535588,8.411833,6.143675,1.212909,0.486025,0.758487
68_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0465,,693.063675,17.850936,8.588646,6.22498,1.938606,1.218732,1.209834
69_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0471,,692.71533,16.574258,8.264196,6.174159,0.848036,0.574749,0.854016
70_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0477,,692.962232,18.755675,8.477495,6.214776,1.070042,0.771339,0.903812
71_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0483,,691.835964,16.560463,8.653476,6.159197,2.017196,0.81878,0.630682
72_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0489,,691.960264,16.723905,8.441403,6.234272,1.654594,1.425915,1.135967
73_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0495,,691.650493,18.667037,8.68365,6.229335,2.019631,0.694391,0.984191
74_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0501,,692.059615,17.081312,8.280012,6.178763,1.08324,0.553058,1.085598
75_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0507000000000001,,691.599569,18.256803,8.466278,6.267503,1.931436,1.329835,1.106975
76_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0513000000000001,,691.835006,16.549252,8.381373,6.179842,1.559523,0.617951,1.161295
77_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0519000000000001,,691.886461,16.641738,8.373185,6.570406,2.527868,1.855236,0.93769
78_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0525000000000001,,691.656874,16.659392,8.529955,6.272352,0.941294,1.057238,1.076878
79_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0531000000000001,,691.822584,19.438582,9.844459,6.217362,4.017585,1.321359,0.966425
80_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0537000000000001,,691.579728,16.925564,8.393427,6.170433,1.450353,2.461681,0.965415
81_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0543000000000001,,691.557271,16.612935,10.274413,6.860796,1.563648,1.004673,0.898646
82_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0549000000000001,,691.779649,17.674132,8.403558,6.29858,1.042104,2.676657,0.900981
83_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0555000000000001,,691.592856,16.593164,8.789407,7.070756,1.387898,0.71814,1.178319
84_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0561000000000001,,691.35332,17.057883,8.447013,6.502939,0.934649,0.665672,0.96371
85_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0567000000000001,,691.454247,16.564103,8.172784,6.220633,1.330713,0.855807,1.061761
86_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0573000000000001,,691.470687,18.269933,8.599324,6.177868,1.181322,0.956775,1.013192
87_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0579000000000001,,691.535841,19.456769,9.246219,6.528097,2.435877,1.175689,0.866768
88_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0585000000000001,,691.675963,17.744847,8.212703,6.168942,1.015386,0.940936,0.953138
89_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0591000000000001,,691.375779,16.568342,8.232048,6.690508,2.379558,0.961574,0.791136
90_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0597000000000001,,691.448103,16.53787,8.763337,6.185116,0.826619,0.927871,0.959321
91_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0603000000000001,,691.405685,17.054953,8.426641,6.598078,2.19383,0.761277,0.783732
92_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0609000000000001,,691.455451,17.759804,8.408398,6.164167,0.696941,2.329012,0.827189
93_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0615000000000001,,691.754185,20.136398,8.414614,6.207647,1.534901,1.18235,1.115688
94_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0621000000000001,,691.438284,19.106965,8.653865,6.213689,1.604503,1.281726,1.039253
95_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0627000000000001,,691.301522,17.58446,8.590547,6.213361,1.425819,1.462037,0.831413
96_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0633000000000001,,689.206392,20.069362,8.838227,6.146846,0.951681,0.703454,0.860546
97_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0639000000000001,,690.910357,16.931065,8.166434,6.179628,1.10342,0.766586,0.886972
98_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0645000000000001,,691.038671,17.232212,8.36277,6.212499,1.286589,1.288958,0.91063
99_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0651000000000001,,691.370302,16.711046,8.399228,6.135064,1.347071,0.594937,1.053692
100_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0657000000000001,,690.110621,17.384598,8.486227,6.299405,1.548063,0.524449,1.161884
101_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0663000000000001,,690.942722,17.681439,8.623913,6.23717,1.101402,0.903148,0.931629
102_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0669000000000001,,690.244815,17.752672,8.966369,6.194192,0.799277,0.731322,0.929865
103_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0675000000000001,,690.904141,18.249634,8.37093,6.632236,1.466492,0.963345,0.983124
