folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8239999999999834,413.497832,18.498801,17.534259,8.563414,0.811052,1.232014,0.721925
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.833999999999983,413.436884,17.836383,9.753774,8.24852,1.127342,1.079975,0.791631
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.843999999999983,413.328821,16.961565,8.920673,8.357491,1.886814,0.925333,0.914027
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8539999999999828,413.342664,17.722301,9.256048,7.659985,0.927104,0.930267,0.839185
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8639999999999826,413.359317,16.803507,8.485511,6.957402,2.162788,0.827727,0.704552
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8739999999999823,413.325806,18.612855,9.281055,8.559207,1.475731,1.753271,0.696879
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.883999999999982,413.32232,18.714457,8.92943,6.488968,1.028689,0.733201,0.889115
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.893999999999982,402.679693,17.600866,9.838424,7.35798,1.504284,1.126636,0.860412
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9039999999999817,388.119436,17.066562,8.701669,8.644338,0.93685,3.500898,0.640299
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.913999999999981,386.575987,16.533888,9.727609,7.837013,2.376045,1.242219,0.835996
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9239999999999813,382.257214,23.001192,11.713676,9.567946,0.66635,1.921171,0.754515
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.933999999999981,382.088197,17.059577,8.520944,6.604124,1.035037,0.952452,0.8484
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.943999999999981,382.224028,16.710238,8.656005,7.941281,1.21807,0.879088,0.978075
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9539999999999806,381.988755,17.883089,9.475571,8.520957,1.560456,0.64179,0.756334
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9639999999999804,379.01884,19.737396,10.500195,7.701912,1.458946,0.445824,0.837596
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.97399999999998,361.275102,16.761347,10.57401,9.62583,2.051365,1.807757,0.841064
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.98399999999998,355.593386,17.675231,9.346285,8.308307,0.728193,0.840767,0.721865
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.99399999999998,347.826668,17.352776,8.668159,6.88623,1.195854,0.979705,1.015654
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.00399999999998,346.243491,19.740016,9.380209,7.760495,1.084094,0.934653,0.792536
213_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.01399999999998,343.547088,21.098792,9.458285,7.274856,1.420302,1.73993,0.584406
214_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.023999999999979,337.753543,18.315481,13.519776,11.728715,2.555063,1.377297,0.883722
215_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.033999999999979,332.997624,19.059222,10.765128,8.084775,1.825311,0.641878,0.789904
216_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0439999999999787,318.411827,20.558235,14.449712,13.983165,7.280747,1.209061,1.182333
217_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0539999999999785,316.870455,16.698301,8.865554,9.034946,1.724775,1.209137,0.850025
218_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0639999999999783,315.130985,16.880802,9.4226,8.760442,1.122628,0.829586,0.769149
219_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.073999999999978,309.639135,16.784374,9.556317,7.550892,1.130817,0.572899,0.956945
220_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.083999999999978,305.693407,18.672879,11.762296,15.735461,4.282565,3.739146,0.717448
221_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0939999999999777,300.166228,17.761922,10.318843,10.462157,1.593931,1.172283,0.816642
222_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.103999999999977,295.865575,16.565368,12.897234,10.184851,2.769709,1.819936,0.820915
223_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.113999999999977,291.986004,17.884296,10.04354,8.772668,0.897615,0.843545,0.910227
