folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_TRUCK_ELEC;f_BOAT_FREIGHT_DIESEL;f_TRUCK_FUEL_CELL;f_TRUCK_DIESEL;f_TRAIN_FREIGHT;f_BOAT_FREIGHT_METHANOL;f_TRUCK_METHANOL;f_TRUCK_NG;f_BOAT_FREIGHT_NG
62_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0429;;693.23644;51.562097;35.537891;1.497885;3.416726;7.730421;3.183378;0.23703;0.332223;1.626887
63_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0435;;692.795455;53.287685;35.119516;19.266441;19.641574;7.73042;7.451426;2.991268;0.175944;1.521163
64_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0441;;692.370533;51.502851;33.779049;23.625695;3.12159;7.730421;10.865491;7.509987;6.679373;1.798405
65_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0447;;692.990812;51.486881;35.437782;0.275045;0.351444;7.730421;5.819577;0.51218;1.254707;2.085833
66_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0453;;692.499371;51.481941;28.414752;16.98108;0.61329;7.730421;8.221752;1.592763;3.491332;1.353005
67_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0459;;692.2746;51.502437;42.183239;28.157086;0.94415;7.730421;7.883411;0.197763;17.586041;0.93889
68_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0465;;693.063675;57.277273;34.773075;0.999085;1.922693;7.730421;6.155079;0.131257;0.130016;2.265309
69_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0471;;692.71533;54.550137;33.901848;25.886977;9.141721;7.73042;1.436716;6.324428;6.291537;0.738056
70_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0477;;692.962232;53.883094;31.197534;7.774319;19.501365;7.730421;1.989179;8.473635;4.945712;1.063293
71_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0483;;691.835964;52.993452;36.960906;0.782087;5.477188;7.73042;1.590121;0.186019;0.118096;1.733002
72_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0489;;691.960264;51.568063;33.061084;0.304534;1.336898;7.730421;3.032605;1.29986;0.561957;2.194901
73_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0495;;691.650493;51.841345;34.943514;1.495287;7.11829;7.730421;2.769421;0.221003;0.094372;1.348894
74_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0501;;692.059615;51.516607;31.463757;17.350811;12.007722;7.73042;5.140062;1.323851;0.143096;1.366493
75_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0507000000000001;;691.599569;51.507993;30.837842;1.570451;3.013985;7.73042;1.96468;0.360483;0.536714;1.722151
76_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0513000000000001;;691.835006;51.519324;30.733828;0.644442;11.65172;7.73042;1.362078;19.987552;1.726693;1.391328
77_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0519000000000001;;691.886461;51.501845;33.873037;25.201701;13.359373;7.730421;1.779785;4.646317;1.050278;1.78844
78_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0525000000000001;;691.656874;51.551935;30.382185;22.321601;5.263129;7.730421;4.005831;6.148788;0.31067;1.778897
79_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0531000000000001;;691.822584;51.550995;37.041099;1.612929;12.578288;7.730421;5.572265;0.143167;0.166099;1.533693
80_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0537000000000001;;691.579728;51.520945;33.20065;4.60231;1.951109;7.73042;1.53604;0.276727;0.140536;1.245013
81_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0543000000000001;;691.557271;51.483542;29.958661;25.6519;2.591884;7.730421;30.262938;0.567532;0.577663;2.200787
82_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0549000000000001;;691.779649;51.484797;31.604473;35.512487;0.327105;7.730421;4.252132;1.19169;0.338313;1.644771
83_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0555000000000001;;691.592856;51.492247;32.331167;0.185316;5.319765;7.730421;2.846983;5.573203;0.331683;2.683956
84_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0561000000000001;;691.35332;51.496414;34.039569;4.292069;16.800979;7.730421;9.364453;0.069037;0.231444;1.602491
