folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_HABER_BOSCH,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
156_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4439999999999915,508.627074,26.953626,15.315557,13.4858,12.242957,12.761047,11.724016,11.339416,11.10353,9.649179,9.372281,7.739593
157_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4539999999999917,498.944931,19.134083,12.041517,10.801363,10.205151,10.647338,7.75494,7.846146,7.804288,7.079286,5.501405,4.831926
158_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.463999999999991,495.928573,27.478822,16.0611,13.497568,13.441042,12.994949,11.367302,10.734961,10.165317,9.342691,8.296929,6.733042
159_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.473999999999991,489.727117,26.859362,15.819426,13.245459,13.248806,13.290422,10.930534,10.4231,10.053247,9.354228,7.805175,6.487246
160_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4839999999999907,489.716503,23.635362,14.458295,12.220482,12.402162,11.969273,9.703208,9.207868,8.799733,8.417414,6.868453,5.723099
161_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4939999999999904,488.175407,27.238222,15.894712,13.377228,13.137086,13.457545,11.214795,10.638757,10.366375,9.542143,8.092474,6.763894
162_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5039999999999902,487.612654,25.254759,14.772659,12.682478,12.548155,12.173121,10.311977,9.734474,9.218341,8.527849,7.387049,6.043128
163_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.51399999999999,487.659385,20.216953,12.582232,11.180379,10.645741,10.933273,8.285983,8.227929,8.160553,7.38743,6.008388,5.224932
164_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.52399999999999,480.439225,29.702403,17.984411,14.257578,15.371782,14.441294,12.290994,11.392885,10.748656,10.217196,8.701031,7.028293
165_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5339999999999896,480.027024,25.719296,15.870613,12.896459,13.604811,13.737511,10.52235,10.302594,10.181027,9.352751,7.560946,6.462814
166_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5439999999999894,480.184255,24.043935,14.133641,12.341803,11.958945,11.830145,9.80313,9.285328,8.89441,8.275679,6.895604,5.678842
167_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.553999999999989,478.457813,19.534526,12.671363,11.046143,10.576971,11.798522,8.065379,8.361837,8.610867,7.778044,6.027462,5.606719
168_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.563999999999989,475.51652,28.63413,16.18079,13.773189,13.549722,13.307711,11.680167,10.965882,10.434452,9.550796,8.544687,6.905759
169_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5739999999999887,472.189173,25.435922,14.600468,12.721934,11.937698,12.021372,10.272396,9.777832,9.256893,8.522782,7.438493,6.019419
170_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5839999999999885,472.16847,24.965948,14.442638,12.611569,12.026984,12.019268,10.239014,9.66933,9.224669,8.541541,7.321055,5.99732
171_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5939999999999883,471.892085,21.865124,13.492384,11.656856,11.695697,11.66017,8.862309,8.608646,8.328179,7.827036,6.187138,5.234458
172_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.603999999999988,460.676287,25.613247,14.783101,12.784621,12.223021,12.080578,10.324854,9.787343,9.194575,8.588898,7.40809,5.938641
173_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.613999999999988,460.890071,25.59947,14.46747,13.14453,11.453545,12.07478,11.09256,10.757011,10.449205,9.206812,8.610254,7.056403
174_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.623999999999988,460.724698,26.443825,15.807877,13.104127,13.617011,13.1846,10.861599,10.227691,9.952293,9.421216,7.752463,6.507675
175_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6339999999999875,459.344931,30.103674,17.196816,14.29835,14.271437,14.136486,12.616047,11.937816,11.489121,10.364369,9.446007,7.687398
176_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6439999999999872,458.332061,25.187605,14.916606,12.681719,13.080045,12.444128,10.28179,9.767649,9.429677,8.615502,7.321286,6.413023
177_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.653999999999987,458.541438,27.548677,15.924452,13.497378,13.364575,13.341062,11.45031,10.869029,10.492935,9.573238,8.472273,7.001874
178_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.663999999999987,457.53926,19.574046,12.094623,10.940098,10.25431,10.449615,7.95076,7.902652,7.709428,7.038563,5.635004,4.823499
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6739999999999866,454.00012,26.260055,15.662578,12.980146,13.723941,13.052665,10.660246,9.993092,9.544395,9.006132,7.472628,6.386135
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6839999999999864,450.005492,21.088963,12.826001,11.409824,10.991293,10.612196,8.604019,8.253487,7.776313,7.152392,6.050338,5.003897
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.693999999999986,439.158691,19.22852,11.879015,10.837657,10.134989,10.02617,7.815532,7.612701,7.177232,6.60641,5.480002,4.539538
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.703999999999986,439.472162,28.335654,16.514452,13.658935,14.018905,13.720646,11.640949,10.946124,10.499801,9.647416,8.342521,6.801038
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7139999999999858,439.453001,26.975675,15.426474,13.591257,12.224237,12.835863,12.065116,11.663604,11.532939,9.918651,9.895577,8.284212
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.723999999999985,432.84605,27.711645,15.533399,13.570851,12.875441,12.887006,11.460505,10.841456,10.428294,9.421539,8.566619,6.978659
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7339999999999853,429.879181,25.587647,15.044284,12.804471,12.823403,12.528544,10.51035,9.883663,9.471507,8.805975,7.505241,6.171436
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.743999999999985,429.462303,26.537128,15.642294,13.178377,13.078068,12.975406,10.894785,10.312198,9.886536,9.128582,7.803983,6.419637
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.753999999999985,429.386341,21.138665,12.669498,11.397239,10.755239,10.315641,8.658474,8.314306,7.800645,7.157483,6.177014,5.088513
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7639999999999847,429.369579,25.518913,15.270271,12.888563,12.979804,12.598366,10.55564,10.025436,9.632248,8.866203,7.634806,6.503196
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7739999999999845,429.37486,21.565244,12.956815,11.618958,10.856371,10.791111,8.992335,8.703569,8.38388,7.529301,6.649437,5.629921
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7839999999999843,429.339445,21.67368,13.27282,11.572617,11.433338,11.170401,8.839077,8.505391,8.100092,7.474808,6.269226,5.244847
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.793999999999984,419.973888,29.847346,16.705701,14.149602,13.611314,13.851778,12.187412,11.62573,11.135283,10.183719,9.068034,7.338955
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.803999999999984,418.898059,21.51534,12.919358,11.561561,11.015532,10.710052,8.849831,8.497977,8.098281,7.390818,6.385413,5.316948
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.813999999999984,413.497115,23.665626,14.860503,12.257522,12.577044,13.026912,9.809148,9.592944,9.744991,9.280333,7.293835,6.586059
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8239999999999834,413.497832,19.367104,12.180092,10.912743,10.330302,10.668629,7.8925,7.832427,7.595263,7.135388,5.58802,4.771261
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.833999999999983,413.436884,25.306785,14.842542,12.692105,12.743241,12.157611,10.247919,9.71083,9.198445,8.50578,7.316248,5.916157
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.843999999999983,413.328821,28.15448,15.819725,13.62139,13.222699,13.15792,11.429197,10.724967,10.267587,9.291294,8.382156,6.761085
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8539999999999828,413.342664,26.283149,15.157938,13.056403,12.598194,12.675194,10.689978,10.126953,9.694113,8.97116,7.702608,6.307972
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8639999999999826,413.359317,23.204439,13.556668,12.175495,11.151633,11.146147,9.615962,9.184024,8.733998,7.91947,7.057058,5.727885
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8739999999999823,413.325806,17.478824,10.731074,10.300435,9.200762,8.644779,7.157936,6.945464,6.435369,5.943987,5.078506,4.15883
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.883999999999982,413.32232,25.160758,14.504165,12.780888,12.06213,12.047654,10.475368,10.028167,9.623912,8.619459,7.825699,6.361721
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.893999999999982,402.679693,26.55088,15.494865,13.105703,13.032223,12.802756,10.92337,10.373186,9.880251,9.091686,7.895951,6.456111
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9039999999999817,388.119436,20.818701,12.440515,11.306052,10.546299,10.240137,8.503423,8.159494,7.702522,7.063985,5.993983,4.950061
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.913999999999981,386.575987,25.138265,14.575608,12.717244,12.158669,12.122384,10.360256,9.84287,9.430378,8.762946,7.545071,6.245729
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9239999999999813,382.257214,23.588146,14.303324,12.187026,12.115018,12.387824,9.616262,9.390336,9.259074,8.468572,6.825088,5.812461
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.933999999999981,382.088197,26.453391,14.932464,13.107466,12.272149,12.424021,10.750039,10.178161,9.714501,8.852466,7.801432,6.311741
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.943999999999981,382.224028,26.456528,15.038407,13.209989,12.128968,12.470604,11.153665,10.713546,10.338343,9.278585,8.531662,6.982472
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9539999999999806,381.988755,24.219821,14.328629,12.379585,12.214572,11.903768,9.858292,9.365309,8.894212,8.209121,6.956888,5.670422
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9639999999999804,379.01884,25.841541,15.395998,12.901636,13.430374,12.853848,10.542159,9.864921,9.464848,9.122204,7.41156,6.127784
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.97399999999998,361.275102,27.306025,16.386063,13.289212,14.16789,13.671363,11.02463,10.395086,9.91522,9.176685,7.661019,6.252751
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.98399999999998,355.593386,23.457072,13.737764,12.116916,11.416753,11.484489,9.431942,9.027642,8.602637,8.044348,6.660679,5.448338
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.99399999999998,347.826668,29.046333,16.237801,13.915809,13.316093,13.428689,11.906486,11.399126,11.00308,9.823394,8.985345,7.287507
