folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_HABER_BOSCH,f_GAS_TO_HVC,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
Techno_PHEV_BATT_gwp46,PHEV_BATT,46.0,,,,,,2.3e-05,,,,,,27.893777,16.263739,13.802163,13.210141,13.430415,11.621941,11.247058,10.796308,9.673337,9.189678,7.551744
Techno_PHEV_BATT_gwp51,PHEV_BATT,51.0,,,,,,1e-05,,,,,,26.278076,14.971654,13.100948,12.443894,11.916179,10.604895,10.460337,9.980031,8.920503,8.162084,6.732627
Techno_PHEV_BATT_gwp56,PHEV_BATT,56.0,,,,,,3e-06,,,,,,29.74624,17.551759,14.152738,14.30252,14.71957,12.167525,11.555507,10.992106,10.231396,9.017477,7.405873
Techno_PHEV_BATT_gwp61,PHEV_BATT,61.0,,,,,,3e-06,,,,,,26.817793,15.767964,13.367865,12.587684,13.305568,11.123714,10.700104,10.122165,9.202727,8.513746,6.922829
Techno_PHEV_BATT_gwp66,PHEV_BATT,66.0,,,,,,7e-06,,,,,,25.425436,14.836739,12.792498,12.171448,12.389553,10.300337,9.964341,9.421852,8.641664,7.671022,6.270877
Techno_PHEV_BATT_gwp71,PHEV_BATT,71.0,,,,,,6e-06,,,,,,27.38138,16.297827,13.335424,13.66556,13.96966,10.907894,10.468091,9.941139,9.287672,7.839524,6.527929
Techno_PHEV_BATT_gwp76,PHEV_BATT,76.0,,,,,,1e-05,,,,,,29.320082,17.073737,14.104617,14.180071,14.03818,12.004282,11.580004,11.154363,10.01231,9.153604,7.58698
Techno_PHEV_BATT_gwp81,PHEV_BATT,81.0,,,,,,2.3e-05,,,,,,27.345713,15.866512,13.515054,13.06738,13.023195,11.200173,10.804158,10.317496,9.204059,8.513551,6.910003
Techno_PHEV_BATT_gwp86,PHEV_BATT,86.0,,,,,,5e-06,,,,,,25.969517,14.882491,13.05732,12.33705,12.09652,10.473288,10.283941,9.84036,8.679161,8.058999,6.587209
Techno_PHEV_BATT_gwp91,PHEV_BATT,91.0,,,,,,8e-06,,,,,,27.332711,15.796114,13.575907,12.994677,12.934792,11.435295,11.051365,10.598651,9.223157,8.931532,7.263177
Techno_PHEV_BATT_gwp96,PHEV_BATT,96.0,,,,,,1.9e-05,,,,,,27.230362,15.864703,13.557921,13.031014,12.767404,11.40445,11.128922,10.748878,9.456993,9.078381,7.514013
Techno_PHEV_BATT_gwp101,PHEV_BATT,101.0,,,,,,1e-05,,,,,,25.325483,14.93984,12.794624,12.400564,12.370876,10.313124,9.843914,9.336493,8.668828,7.490207,6.199412
Techno_TS_gwp0,TS,0.0,,,,,,,0.0,,,,,12.967407,8.057521,9.067899,6.287003,6.130784,5.510456,5.668175,5.087672,4.620812,4.19637,3.522676
Techno_TS_gwp1,TS,0.6200000000000001,,,,,,,0.0,,,,,26.187929,15.456073,13.173626,12.511757,12.717029,11.053136,10.523781,10.077063,9.213174,8.329336,6.937437
Techno_TS_gwp2,TS,1.62,,,,,,,0.0,,,,,25.688559,15.30569,13.09679,12.522966,12.26716,10.601745,10.208896,9.685078,8.859679,7.852322,6.409815
Techno_TS_gwp3,TS,2.62,,,,,,,0.0,,,,,27.246965,15.951656,13.331022,13.536612,13.162868,11.148765,10.569601,10.239422,9.396198,8.066453,6.722247
Techno_TS_gwp4,TS,3.62,,,,,,,0.0,,,,,27.988992,16.426527,13.601555,13.556749,13.658,11.54017,10.907409,10.418761,9.496641,8.424265,6.948238
Techno_TS_gwp5,TS,4.62,,,,,,,0.0,,,,,25.434684,15.011774,12.996573,12.456123,12.358178,10.828359,10.450291,10.147921,8.99766,8.34311,7.13694
Techno_TS_gwp6,TS,5.62,,,,,,,0.0,,,,,26.665905,15.756442,13.331391,13.054667,13.051082,11.294235,10.73948,10.360275,9.259992,8.397457,7.001747
Techno_TS_DEC_DIRECT_ELEC_gwp6,TS_DEC_DIRECT_ELEC,5.62,,,,,,,,0.000243,,,,26.665905,15.756442,13.331391,13.054667,13.051082,11.294235,10.73948,10.360275,9.259992,8.397457,7.001747
Techno_TS_DEC_HP_ELEC_gwp0,TS_DEC_HP_ELEC,0.0,,,,,,,,,1542.845082,,,27.746691,16.321694,13.557907,13.023817,13.706388,11.442189,10.716417,10.072831,9.377879,8.297318,6.695124
Techno_TS_DEC_HP_ELEC_gwp1,TS_DEC_HP_ELEC,0.6200000000000001,,,,,,,,,63.147641,,,25.869521,14.81513,13.034517,12.474408,11.601085,10.807975,10.453529,10.102185,9.084707,8.101905,6.703455
Techno_TS_DEC_HP_ELEC_gwp2,TS_DEC_HP_ELEC,1.62,,,,,,,,,63.116392,,,28.661096,16.578668,13.794441,14.15125,13.477802,11.804363,11.20059,10.889294,9.884036,8.682462,7.232084
Techno_TS_DEC_HP_ELEC_gwp3,TS_DEC_HP_ELEC,2.62,,,,,,,,,61.993585,,,26.379918,15.370326,13.079164,13.100464,12.672607,10.853652,10.448639,10.137645,9.223613,8.009688,6.658931
Techno_TS_DEC_HP_ELEC_gwp4,TS_DEC_HP_ELEC,3.62,,,,,,,,,60.434217,,,30.724497,19.746113,15.28181,15.391342,15.863188,13.200252,12.290096,11.4086,11.005338,9.324411,7.340468
Techno_TS_DEC_HP_ELEC_gwp5,TS_DEC_HP_ELEC,4.62,,,,,,,,,60.36553,,,26.07671,14.908569,13.162344,12.694013,11.560631,11.237301,10.946049,10.750723,9.491066,8.81238,7.407169
Techno_TS_DEC_HP_ELEC_gwp6,TS_DEC_HP_ELEC,5.62,,,,,,,,,60.365521,,,23.815763,13.835349,12.413727,11.538123,11.303687,10.02694,9.695425,9.333571,8.279501,7.709749,6.418595
Techno_TS_DHN_DAILY_gwp0,TS_DHN_DAILY,0.0,,,,,,,,,,5784.860902,,26.665905,15.756442,13.331391,13.054667,13.051082,11.294235,10.73948,10.360275,9.259992,8.397457,7.001747
Techno_TS_DHN_DAILY_gwp1,TS_DHN_DAILY,1.2000000000000028,,,,,,,,,,87.888808,,27.160696,15.745733,13.358109,12.741888,13.216215,11.318159,10.690038,10.162925,9.281824,8.441828,6.902654
Techno_TS_DHN_DAILY_gwp4,TS_DHN_DAILY,4.200000000000003,,,,,,,,,,0.001351,,28.127697,16.650635,13.790731,13.277765,14.026117,11.765303,10.95625,10.363372,9.628382,8.589512,7.001935
Techno_TS_DHN_DAILY_gwp7,TS_DHN_DAILY,7.200000000000003,,,,,,,,,,0.000738,,29.793503,17.286501,14.115887,14.095038,14.728745,12.231404,11.425277,10.87911,10.036601,8.891842,7.229981
Techno_TS_DHN_DAILY_gwp10,TS_DHN_DAILY,10.200000000000005,,,,,,,,,,0.000457,,26.713826,15.526041,13.290311,12.66144,12.673632,11.227417,10.731973,10.313584,9.347509,8.469973,6.955213
Techno_TS_DHN_DAILY_gwp13,TS_DHN_DAILY,13.200000000000005,,,,,,,,,,6.2e-05,,28.647474,16.540762,13.887736,13.59658,13.687542,11.931172,11.316915,10.834615,9.857793,8.90344,7.327404
Techno_TS_DHN_DAILY_gwp16,TS_DHN_DAILY,16.200000000000003,,,,,,,,,,0.000331,,27.397408,15.905052,13.655316,13.140554,13.054467,11.894235,11.42773,11.131574,9.967069,9.289811,7.734554
Techno_TS_DHN_DAILY_gwp19,TS_DHN_DAILY,19.200000000000003,,,,,,,,,,0.000282,,26.607985,15.170663,13.639297,12.550956,12.563371,11.604728,11.090081,10.850114,9.344648,9.129664,7.515678
Techno_TS_DHN_DAILY_gwp22,TS_DHN_DAILY,22.200000000000003,,,,,,,,,,0.000141,,27.462299,15.525645,13.715977,13.158667,12.599913,11.754214,11.338124,11.045788,9.671737,9.137802,7.493095
Techno_TS_DHN_DAILY_gwp25,TS_DHN_DAILY,25.200000000000003,,,,,,,,,,3e-05,,24.330763,13.792199,12.696133,11.487371,11.30322,10.345338,10.048029,9.738178,8.643309,8.026737,6.535602
Techno_TS_DHN_DAILY_gwp28,TS_DHN_DAILY,28.200000000000003,,,,,,,,,,3.1e-05,,24.518561,14.317407,12.607118,11.829106,12.14684,10.185913,9.681885,9.208316,8.398969,7.452838,6.182739
Techno_TS_DHN_DAILY_gwp31,TS_DHN_DAILY,31.200000000000003,,,,,,,,,,8.3e-05,,24.7913,14.202577,12.863842,11.841449,11.424059,10.726052,10.321733,10.028862,8.779441,8.328416,6.941049
Techno_TS_DHN_DAILY_gwp34,TS_DHN_DAILY,34.2,,,,,,,,,,6.4e-05,,26.038032,15.102502,13.130269,12.549228,12.235223,10.904065,10.872161,10.575931,9.146106,8.962866,7.466975
Techno_TS_DHN_DAILY_gwp37,TS_DHN_DAILY,37.2,,,,,,,,,,9.3e-05,,25.325483,14.93984,12.794624,12.400564,12.370876,10.313124,9.843914,9.336493,8.668828,7.490207,6.199412
Techno_TS_HIGH_TEMP_gwp0,TS_HIGH_TEMP,0.0,,,,,,,,,,,1087.825476,22.008323,13.259334,11.773851,11.350036,10.914304,9.236431,9.23039,9.039334,8.144968,7.114054,6.098403
Techno_TS_HIGH_TEMP_gwp1,TS_HIGH_TEMP,0.8899999999999997,,,,,,,,,,,71.936741,29.569081,18.606807,14.805894,15.059107,14.791525,12.532266,12.151456,11.499143,10.796114,9.384376,7.624273
Techno_TS_HIGH_TEMP_gwp2,TS_HIGH_TEMP,1.89,,,,,,,,,,,71.921721,25.657972,15.109468,13.065978,12.46784,12.201576,11.16,10.861891,10.697816,9.23861,8.849077,7.608752
Techno_TS_HIGH_TEMP_gwp3,TS_HIGH_TEMP,2.89,,,,,,,,,,,70.88704,28.215256,16.722744,13.71448,13.999867,13.679006,10.555106,11.382076,11.133429,10.004286,9.024109,7.586045
Techno_TS_HIGH_TEMP_gwp4,TS_HIGH_TEMP,3.89,,,,,,,,,,,70.818117,26.296626,15.178399,13.269589,12.758973,11.959563,11.191505,10.816669,10.517178,9.357676,8.484716,7.052664
Techno_TS_HIGH_TEMP_gwp5,TS_HIGH_TEMP,4.89,,,,,,,,,,,70.805251,21.85182,13.194063,11.837306,10.875542,10.894998,9.244631,8.990312,8.710197,8.050409,7.076337,6.131003
Techno_TS_HIGH_TEMP_gwp6,TS_HIGH_TEMP,5.89,,,,,,,,,,,70.195414,23.815763,13.835349,12.413727,11.538123,11.303687,10.02694,9.695425,9.333571,8.279501,7.709749,6.418595
