folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DEC_HP_ELEC,f_DHN_HP_ELEC,f_DEC_DIRECT_ELEC,f_DEC_BOILER_WOOD,f_DHN_BOILER_GAS,f_DEC_BOILER_GAS,f_DEC_BOILER_OIL,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DEC_SOLAR,f_DHN_COGEN_WOOD,f_DEC_THHP_GAS,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DEC_COGEN_GAS,f_DEC_COGEN_OIL,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DEC_ADVCOGEN_H2,f_DEC_ADVCOGEN_GAS,f_DHN_DEEP_GEO
300_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.883999999999961,88.473512,18.824142,7.923617,0.000242,2.1e-05,2e-05,2.1e-05,2e-05,2e-05,9e-06,5e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
301_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.8939999999999606,88.545131,18.824813,7.923132,0.000476,4.5e-05,4.7e-05,4.1e-05,4e-05,4.2e-05,2e-05,1.4e-05,5e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
302_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.90399999999996,88.377871,18.825855,7.923078,0.000449,3.9e-05,3.6e-05,3.8e-05,3.7e-05,3.5e-05,1.6e-05,1e-05,4e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
303_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.91399999999996,88.387669,18.824969,7.923601,0.000375,3.4e-05,3.5e-05,3.2e-05,3.2e-05,3.2e-05,1.5e-05,1.1e-05,4e-06,2e-06,3e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
304_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.92399999999996,82.768352,18.839696,7.928772,0.000592,5.5e-05,5.2e-05,4.7e-05,4.7e-05,5e-05,2.2e-05,1.4e-05,6e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
305_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.93399999999996,76.386787,18.850761,7.944581,0.000522,4.6e-05,4.4e-05,4.3e-05,4.3e-05,4.2e-05,1.9e-05,1.2e-05,5e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
306_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.94399999999996,72.139283,18.861156,7.950721,0.000295,2.7e-05,2.8e-05,2.5e-05,2.5e-05,2.6e-05,1.2e-05,7e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
307_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.9539999999999593,67.844242,18.878083,7.954278,0.000222,2e-05,2.1e-05,2e-05,1.9e-05,1.9e-05,9e-06,7e-06,3e-06,1e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
308_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.963999999999959,67.801419,18.878453,7.954444,0.000468,4.4e-05,4.5e-05,3.9e-05,3.8e-05,4.2e-05,1.9e-05,1.2e-05,5e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
309_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.973999999999959,67.768435,18.877863,7.9543,0.000207,1.9e-05,2e-05,1.8e-05,1.8e-05,1.8e-05,9e-06,6e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
310_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.983999999999959,64.775128,18.883247,7.958438,0.000336,3.1e-05,3.1e-05,2.7e-05,2.7e-05,2.9e-05,1.3e-05,9e-06,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
311_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.9939999999999594,64.270557,18.882177,7.95924,0.000441,3.9e-05,3.5e-05,3.5e-05,3.5e-05,3.4e-05,1.5e-05,1e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
312_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,4.003999999999959,63.751055,18.882635,7.959573,0.000122,1.1e-05,1e-05,9e-06,9e-06,1e-05,4e-06,3e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,4.013999999999959,57.038544,18.891744,7.968591,0.000555,5.1e-05,4.9e-05,4.3e-05,4.3e-05,4.7e-05,2e-05,1.4e-05,5e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
