folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
144_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.323999999999994,518.389223,183.726855,5.194924,3.327887,1.069399,2.082731,2.97171,6.3e-05,2.2e-05
145_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.333999999999994,515.686732,182.442142,2.418347,0.730076,0.646067,1.531751,2.647463,0.000124,3.7e-05
146_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3439999999999936,515.140428,177.149589,7.486358,11.778511,8.985635,2.037247,2.887272,5.6e-05,1.6e-05
147_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.353999999999993,515.110133,180.165261,0.857793,3.127694,1.639027,1.511614,1.228998,5.9e-05,2e-05
148_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.363999999999993,515.02307,188.602174,0.652886,1.114765,1.374394,0.924799,1.778241,6.2e-05,2.1e-05
149_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.373999999999993,514.993659,178.038544,1.952987,3.674317,1.625742,0.937143,1.128523,8e-05,2.8e-05
150_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.383999999999993,515.010712,177.385329,22.655438,1.570733,5.025931,8.442067,5.872857,5.3e-05,1.6e-05
151_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3939999999999926,512.684179,178.149375,1.068593,1.512689,1.309682,0.953327,1.137629,7.6e-05,2e-05
152_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4039999999999924,512.550756,176.992024,2.253908,7.341899,3.022319,0.524703,1.573391,4.5e-05,1.4e-05
153_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.413999999999992,508.719725,177.132642,1.247018,1.040011,2.847218,2.114462,2.161753,7.5e-05,2.1e-05
154_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.423999999999992,508.559968,190.254272,7.022083,4.349923,8.499052,1.112856,7.066453,5.6e-05,1.8e-05
155_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.433999999999992,508.550972,182.248875,7.847297,0.972297,5.66258,2.350022,3.481887,2.2e-05,6e-06
156_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4439999999999915,508.627074,187.685389,3.075702,0.632971,1.207217,3.462852,1.562031,6.9e-05,2.4e-05
157_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4539999999999917,498.944931,198.914209,12.906889,0.803593,12.087024,4.579001,5.543137,5.3e-05,1.5e-05
158_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.463999999999991,495.928573,177.412462,0.896487,5.994603,2.096606,1.17707,0.993606,8.4e-05,2.6e-05
159_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.473999999999991,489.727117,177.194042,6.254583,0.812843,1.54872,0.871489,1.902353,2.8e-05,9e-06
160_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4839999999999907,489.716503,180.298934,9.490621,6.969469,10.085884,1.89278,2.912377,5.5e-05,1.8e-05
161_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4939999999999904,488.175407,177.248011,1.346178,2.313237,3.386268,2.391368,2.536798,0.000601,0.00018
162_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5039999999999902,487.612654,180.772423,12.734799,11.228779,6.54722,1.997298,3.590959,3.5e-05,9e-06
163_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.51399999999999,487.659385,181.799405,25.11797,4.206734,3.972427,4.249878,4.370487,4.5e-05,1.3e-05
164_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.52399999999999,480.439225,177.018481,3.041335,4.613751,1.58534,2.034214,0.980313,3.5e-05,8e-06
165_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5339999999999896,480.027024,177.029373,0.631642,1.770058,0.94172,1.706957,0.771168,6.6e-05,1.9e-05
