folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_PV,f_WIND_ONSHORE,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_CCGT,f_COAL_IGCC,f_COAL_US,f_GEOTHERMAL,f_NUCLEAR
72_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6040000000000003,740.95247,59.174998,10.0,6.0,0.815311,0.115,1e-06,0.0,0.0,0.0,0.0
73_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6140000000000003,740.958263,59.174996,10.0,6.0,0.814993,0.115,1e-06,0.0,0.0,0.0,0.0
74_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6240000000000006,738.764387,59.174999,10.0,6.0,0.81715,0.115,0.0,0.0,0.0,0.0,0.0
75_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6340000000000006,738.764681,59.174998,10.0,6.0,0.816976,0.115,1e-06,0.0,0.0,0.0,0.0
76_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6440000000000006,738.75821,59.174986,10.0,6.0,0.81723,0.115,6e-06,0.0,0.0,0.0,0.0
77_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6540000000000006,727.440391,59.174993,10.0,6.0,0.83765,0.115,3e-06,0.0,0.0,0.0,0.0
78_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6640000000000006,723.414418,59.174995,10.0,6.0,0.843879,0.115,2e-06,0.0,0.0,0.0,0.0
79_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6740000000000006,721.362084,59.174996,10.0,6.0,0.845756,0.115,2e-06,0.0,0.0,0.0,0.0
80_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6840000000000006,721.362125,59.174998,10.0,6.0,0.845758,0.115,1e-06,0.0,0.0,0.0,0.0
81_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6940000000000006,721.35128,59.174999,10.0,6.0,0.845801,0.115,0.0,0.0,0.0,0.0,0.0
82_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7040000000000006,720.15371,59.174998,10.0,6.0,0.847004,0.115,1e-06,0.0,0.0,0.0,0.0
83_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7140000000000006,720.1505,59.174995,10.0,6.0,0.847009,0.115,2e-06,0.0,0.0,0.0,0.0
84_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7240000000000006,718.197781,59.174999,10.0,6.0,0.848937,0.115,1e-06,0.0,0.0,0.0,0.0
85_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7340000000000009,715.727004,59.174989,10.0,6.0,0.851496,0.115,4e-06,0.0,0.0,0.0,0.0
86_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7440000000000009,715.68675,59.174982,10.0,6.0,0.851524,0.115,7e-06,0.0,0.0,0.0,0.0
87_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.754000000000001,714.386765,59.174992,10.0,6.0,0.852493,0.115,3e-06,0.0,0.0,0.0,0.0
88_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.764000000000001,709.640499,59.174993,10.0,6.0,0.856616,0.115,2e-06,0.0,0.0,0.0,0.0
89_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.774000000000001,709.631167,59.174994,10.0,6.0,0.856628,0.115,2e-06,0.0,0.0,0.0,0.0
90_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7840000000000007,709.624324,59.174996,10.0,6.0,0.856634,0.115,2e-06,0.0,0.0,0.0,0.0
91_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7940000000000007,709.622999,59.174999,10.0,6.0,0.856626,0.115,1e-06,0.0,0.0,0.0,0.0
92_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8040000000000007,685.623349,59.174993,10.0,6.0,0.883125,0.115,2e-06,0.0,0.0,0.0,0.0
93_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8140000000000007,681.888508,59.174995,10.0,6.0,0.887421,0.115,1e-06,0.0,0.0,0.0,0.0
94_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8240000000000007,678.362715,59.174997,10.0,6.0,0.877748,0.115,1e-06,0.0,0.0,0.0,0.0
95_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8340000000000007,678.370389,59.174981,10.0,6.0,0.877761,0.115,7e-06,0.0,0.0,0.0,0.0
96_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8440000000000007,675.847305,59.174993,10.0,6.0,0.87494,0.115,2e-06,0.0,0.0,0.0,0.0
97_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8540000000000008,675.830642,59.174991,10.0,6.0,0.874913,0.115,3e-06,0.0,0.0,0.0,0.0
98_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8640000000000008,664.001029,59.174993,10.0,6.0,0.888736,0.115,3e-06,0.0,0.0,0.0,0.0
99_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8740000000000008,663.796408,59.174991,10.0,6.0,0.889036,0.115,4e-06,0.0,0.0,0.0,0.0
