folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
66_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5440000000000005,748.452303,17.605607,6.236971,5.255433,4.264861,4e-05,1.7e-05,1e-05,6e-06,1e-06
67_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5540000000000005,746.923425,17.604519,6.237168,5.255902,4.264034,1.5e-05,7e-06,4e-06,2e-06,1e-06
68_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5640000000000005,746.893736,17.604449,6.237167,5.255893,4.264196,1.3e-05,6e-06,4e-06,2e-06,1e-06
69_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5740000000000005,746.09658,17.60402,6.237274,5.256152,4.263787,3e-06,1e-06,1e-06,1e-06,0.0
70_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5840000000000003,740.962282,17.601583,6.237977,5.257736,4.261452,1.1e-05,4e-06,3e-06,1e-06,0.0
71_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.5940000000000003,740.960651,17.601592,6.237979,5.257736,4.261374,1.2e-05,5e-06,3e-06,2e-06,0.0
72_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6040000000000003,740.95247,17.601554,6.237951,5.25769,4.264344,5e-06,2e-06,1e-06,1e-06,0.0
73_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6140000000000003,740.958263,17.601592,6.237975,5.257731,4.261804,8e-06,4e-06,2e-06,1e-06,0.0
74_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6240000000000006,738.764387,17.601157,6.238339,5.258436,4.261728,3e-06,1e-06,1e-06,0.0,0.0
75_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6340000000000006,738.764681,17.601158,6.238359,5.258464,4.260327,4e-06,2e-06,1e-06,1e-06,0.0
76_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6440000000000006,738.75821,17.60138,6.238327,5.25842,4.262115,3.9e-05,1.7e-05,1e-05,5e-06,1e-06
77_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6540000000000006,727.440391,17.600232,6.239401,5.260703,4.335482,1.7e-05,7e-06,4e-06,2e-06,1e-06
78_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6640000000000006,723.414418,17.598309,6.240321,5.261994,4.359179,1.3e-05,5e-06,3e-06,2e-06,0.0
79_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6740000000000006,721.362084,17.594582,6.240697,5.262693,4.358218,1e-05,4e-06,3e-06,1e-06,0.0
80_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6840000000000006,721.362125,17.594443,6.240694,5.262689,4.358251,5e-06,2e-06,1e-06,1e-06,0.0
81_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.6940000000000006,721.35128,17.594446,6.240665,5.262676,4.358312,2e-06,1e-06,0.0,0.0,0.0
82_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7040000000000006,720.15371,17.590578,6.240814,5.263027,4.357864,5e-06,2e-06,1e-06,1e-06,0.0
83_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7140000000000006,720.1505,17.590656,6.240824,5.263032,4.357725,1.1e-05,5e-06,3e-06,2e-06,0.0
84_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7240000000000006,718.197781,17.589738,6.241081,5.263615,4.35712,4e-06,2e-06,1e-06,0.0,0.0
85_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7340000000000009,715.727004,17.589046,6.241371,5.264323,4.356065,2.4e-05,1e-05,6e-06,4e-06,1e-06
86_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.7440000000000009,715.68675,17.589151,6.241388,5.26433,4.355491,4.3e-05,1.9e-05,1.1e-05,6e-06,2e-06
87_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.754000000000001,714.386765,17.587234,6.241797,5.264927,4.355421,1.7e-05,7e-06,4e-06,3e-06,1e-06
88_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.764000000000001,709.640499,17.58201,6.242649,5.266663,4.353182,1.6e-05,7e-06,4e-06,2e-06,1e-06
89_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.774000000000001,709.631167,17.582029,6.242654,5.266668,4.353118,1.5e-05,6e-06,4e-06,2e-06,1e-06
