folder,techno_modifiee,technology,f,gwp_constr
157_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.079286,2.4539999999999917
158_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.342691,2.463999999999991
159_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.354228,2.473999999999991
160_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.417414,2.4839999999999907
161_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.542143,2.4939999999999904
162_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.527849,2.5039999999999902
163_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.38743,2.51399999999999
164_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.217196,2.52399999999999
165_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.352751,2.5339999999999896
166_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.275679,2.5439999999999894
167_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.778044,2.553999999999989
168_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.550796,2.563999999999989
169_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.522782,2.5739999999999887
170_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.541541,2.5839999999999885
171_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.827036,2.5939999999999883
172_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.588898,2.603999999999988
173_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.206812,2.613999999999988
174_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.421216,2.623999999999988
175_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.364369,2.6339999999999875
176_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.615502,2.6439999999999872
177_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.573238,2.653999999999987
178_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.038563,2.663999999999987
