folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRUCK_ELEC,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_BOAT_FREIGHT_METHANOL,f_TRUCK_DIESEL,f_TRAIN_FREIGHT,f_TRUCK_NG,f_BOAT_FREIGHT_NG,f_TRUCK_METHANOL
249_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.373999999999972,186.419736,59.634753,28.183515,21.629835,1.877366,44.060772,7.73042,49.332164,2.099469,10.959607
250_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3839999999999715,176.021859,53.054034,28.370851,13.767188,1.658608,17.675842,7.730421,3.328597,10.913965,5.245892
251_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3939999999999717,170.938948,79.239611,28.133014,15.849273,14.129289,21.298016,7.73042,0.443114,1.710806,5.797884
252_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.403999999999971,170.547214,52.807431,28.560511,35.319205,1.778208,10.875624,7.73042,2.011047,1.588105,3.420483
253_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.413999999999971,170.486794,51.725388,28.316327,16.614358,31.727772,6.54851,7.73042,2.752876,3.290495,3.867889
254_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.42399999999997,158.219207,51.478826,28.168938,15.497935,11.407207,17.767096,7.73042,10.013937,1.677623,1.409466
255_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4339999999999704,157.22067,53.019843,28.236721,23.932369,21.1801,0.528229,7.73042,0.206486,5.682681,0.480126
256_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.44399999999997,156.289157,52.298547,28.326177,6.824247,1.741372,11.534536,7.73042,10.980774,1.902694,5.564035
257_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.45399999999997,156.280838,51.680556,28.868116,0.342416,3.001245,1.428415,7.73042,0.048565,3.265559,0.668455
258_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4639999999999698,154.898356,51.786619,28.246961,33.59256,30.904288,7.67287,7.73041,0.415374,14.232727,4.14414
259_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4739999999999696,154.410811,65.163598,28.290452,3.513719,14.504086,25.454161,7.730421,18.496618,1.343234,4.766229
260_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4839999999999693,152.751945,51.590978,28.561198,39.60753,7.497074,3.55782,7.73042,2.296243,8.040011,3.765587
261_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.493999999999969,152.748473,51.49204,28.513196,1.11477,2.748983,1.532768,7.73042,1.16713,1.703267,0.18028
