folder,techno_modifiee,technology,f,gwp_constr
Techno_BEV_BATT_gwp16,BEV_BATT,GAS_TO_HVC,12.924462,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,GAS_TO_HVC,13.689209,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,GAS_TO_HVC,12.55974,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,GAS_TO_HVC,12.877024,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,GAS_TO_HVC,11.317084,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,GAS_TO_HVC,11.679925,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,GAS_TO_HVC,14.392049,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,GAS_TO_HVC,14.755663,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,GAS_TO_HVC,12.001034,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,GAS_TO_HVC,12.370876,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,HABER_BOSCH,0.000202,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,HABER_BOSCH,14.288288,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,HABER_BOSCH,13.9577,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,HABER_BOSCH,13.507587,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,HABER_BOSCH,13.285761,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,HABER_BOSCH,13.683087,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,HABER_BOSCH,12.655353,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,HABER_BOSCH,13.125848,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,HABER_BOSCH,11.960048,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,HABER_BOSCH,12.176185,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,HABER_BOSCH,14.314736,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,HABER_BOSCH,13.799551,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,HABER_BOSCH,12.567668,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,HABER_BOSCH,12.400564,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,METHANE_TO_METHANOL,3.231699,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,METHANE_TO_METHANOL,17.061672,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,METHANE_TO_METHANOL,16.811781,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,METHANE_TO_METHANOL,16.431882,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,METHANE_TO_METHANOL,16.060671,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,METHANE_TO_METHANOL,16.786082,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,METHANE_TO_METHANOL,15.418248,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,METHANE_TO_METHANOL,15.956348,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,METHANE_TO_METHANOL,14.312039,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,METHANE_TO_METHANOL,14.645758,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,METHANE_TO_METHANOL,17.177515,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,METHANE_TO_METHANOL,17.295313,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,METHANE_TO_METHANOL,15.076848,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,METHANE_TO_METHANOL,14.93984,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,METHANOL_TO_HVC,4.892182,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,METHANOL_TO_HVC,13.836454,1.2999999999999972
