folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.813999999999984,413.497115,7.684915,5.3e-05,5.1e-05,2.1e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8239999999999834,413.497832,7.684839,4e-05,3.7e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.833999999999983,413.436884,7.684469,2.6e-05,2.3e-05,1.2e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.843999999999983,413.328821,7.683722,4.1e-05,3.9e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8539999999999828,413.342664,7.683816,5.6e-05,5.1e-05,2.6e-05,7e-06,4e-06,3e-06,2e-06,2e-06,1e-06,0.0
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8639999999999826,413.359317,7.683891,4.1e-05,3.7e-05,1.9e-05,5e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8739999999999823,413.325806,7.683693,2.6e-05,2.3e-05,1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.883999999999982,413.32232,7.683692,3.6e-05,3.3e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.893999999999982,402.679693,7.689765,3e-05,2.9e-05,1.3e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9039999999999817,388.119436,7.697288,9e-05,8.3e-05,3.8e-05,1e-05,5e-06,4e-06,3e-06,2e-06,2e-06,0.0
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.913999999999981,386.575987,7.697878,4.7e-05,4.5e-05,2e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9239999999999813,382.257214,7.700059,4.9e-05,4.5e-05,2e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.933999999999981,382.088197,7.699857,9e-05,8.2e-05,3.9e-05,1e-05,5e-06,3e-06,3e-06,2e-06,2e-06,0.0
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.943999999999981,382.224028,7.6997,2.5e-05,2.4e-05,1.1e-05,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9539999999999806,381.988755,7.699811,5.9e-05,5.4e-05,2.5e-05,7e-06,3e-06,3e-06,2e-06,1e-06,1e-06,0.0
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9639999999999804,379.01884,7.702258,2e-05,1.9e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.97399999999998,361.275102,7.712196,3.9e-05,3.7e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.98399999999998,355.593386,7.714212,3.5e-05,3.1e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.99399999999998,347.826668,7.71697,4.9e-05,4.5e-05,2.2e-05,6e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.00399999999998,346.243491,7.718191,2.6e-05,2.4e-05,1.2e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
213_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.01399999999998,343.547088,7.719705,3.6e-05,3.3e-05,1.7e-05,5e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
214_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.023999999999979,337.753543,7.729586,4.1e-05,3.9e-05,1.7e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
215_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.033999999999979,332.997624,7.732763,4.6e-05,4.2e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
216_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0439999999999787,318.411827,7.7437,2.1e-05,1.9e-05,8e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
217_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0539999999999785,316.870455,7.745808,0.000126,0.000119,5.4e-05,1.4e-05,7e-06,5e-06,4e-06,3e-06,2e-06,0.0
218_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0639999999999783,315.130985,7.745361,4.9e-05,4.6e-05,2.1e-05,6e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
