folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_CAR_FUEL_CELL,f_CAR_HEV,f_CAR_DIESEL,f_CAR_NG,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
27_IS_Techno_PHS_gwp30,PHS,29.930000000000017,,6.499886,,,177.01016,1.655288,1.130056,3.528305,2.404706,1.633867,5.4e-05,1.7e-05
28_IS_Techno_PHS_gwp31,PHS,30.730000000000015,,6.499947,,,177.018509,0.966615,1.063643,1.064439,1.065181,1.056452,9e-05,3.4e-05
29_IS_Techno_PHS_gwp32,PHS,31.53000000000002,,6.49989,,,181.243263,1.463504,4.563249,1.663958,0.798614,1.673029,1.6e-05,5e-06
30_IS_Techno_PHS_gwp32,PHS,32.33000000000002,,6.499844,,,181.46865,6.682718,7.885204,10.126373,1.216324,2.546945,4.6e-05,1.6e-05
31_IS_Techno_PHS_gwp33,PHS,33.13000000000002,,6.499827,,,181.469223,5.742652,2.459717,8.200401,3.077757,2.436469,5.4e-05,1.4e-05
32_IS_Techno_PHS_gwp34,PHS,33.930000000000014,,6.499967,,,176.985407,8.612382,1.152071,2.336198,1.691816,2.157198,3.3e-05,1.1e-05
33_IS_Techno_PHS_gwp35,PHS,34.73000000000001,,6.499972,,,181.752131,2.028098,1.665421,4.343828,0.945582,1.261861,2.2e-05,7e-06
34_IS_Techno_PHS_gwp36,PHS,35.53000000000001,,6.499929,,,177.585012,3.038079,1.52969,11.513151,0.941476,1.72818,1.6e-05,5e-06
35_IS_Techno_PHS_gwp36,PHS,36.330000000000005,,6.49994,,,177.071447,3.604004,5.233412,15.686109,1.381731,1.864526,4.4e-05,1.5e-05
36_IS_Techno_PHS_gwp37,PHS,37.13,,6.499984,,,184.622593,3.288517,2.490011,1.694093,0.874698,1.410923,9e-06,3e-06
37_IS_Techno_PHS_gwp38,PHS,37.93,,6.499698,,,179.556789,3.653855,1.317379,7.565427,0.9881,4.173422,6.3e-05,1.9e-05
38_IS_Techno_PHS_gwp39,PHS,38.73,,6.499662,,,215.651801,2.408385,2.9524,3.893891,4.370935,1.326551,2.2e-05,6e-06
39_IS_Techno_PHS_gwp40,PHS,39.53,,6.499995,,,177.039286,14.023833,4.417024,2.622759,1.45443,2.622424,4e-06,1e-06
40_IS_Techno_PHS_gwp40,PHS,40.32999999999999,,6.499939,,,177.927661,3.390948,3.678576,7.186368,1.266735,2.010559,1.5e-05,4e-06
41_IS_Techno_PHS_gwp41,PHS,41.12999999999999,,6.499923,,,178.140473,2.600647,0.920946,1.01955,1.244966,1.159652,5.1e-05,2.1e-05
42_IS_Techno_PHS_gwp42,PHS,41.92999999999999,,6.499696,,,177.092531,2.392764,3.665661,2.22638,1.257713,2.71584,6.2e-05,2e-05
43_IS_Techno_PHS_gwp43,PHS,42.72999999999998,,6.499856,,,176.9874,6.180401,2.093451,11.855392,3.279828,2.291152,8.9e-05,3.2e-05
44_IS_Techno_PHS_gwp44,PHS,43.52999999999998,,6.499993,,,177.229821,1.284037,5.294926,3.255767,6.687692,0.851318,2e-06,1e-06
45_IS_Techno_PHS_gwp44,PHS,44.32999999999998,,6.499804,,,177.291828,2.300183,3.873785,3.086472,2.040451,2.312325,7.2e-05,2.3e-05
46_IS_Techno_PHS_gwp45,PHS,45.12999999999997,,6.499944,,,177.086638,1.710492,1.103649,0.858961,1.479813,2.415526,3e-05,9e-06
47_IS_Techno_PHS_gwp46,PHS,45.92999999999997,,6.499979,,,176.985059,0.964801,1.631718,0.635746,1.160611,0.699541,6e-06,2e-06
48_IS_Techno_PHS_gwp47,PHS,46.72999999999997,,6.499829,,,177.120033,2.551913,2.959468,5.752105,5.743999,1.720561,7.7e-05,2e-05
49_IS_Techno_PHS_gwp48,PHS,47.529999999999966,,6.499931,,,187.67426,9.721345,5.614754,6.497892,1.519752,1.252448,1e-05,3e-06
50_IS_Techno_PHS_gwp48,PHS,48.32999999999996,,6.499999,,,178.856478,4.294342,1.409278,6.049099,2.312192,2.600519,3e-06,1e-06
51_IS_Techno_PHS_gwp49,PHS,49.12999999999996,,6.499913,,,177.799293,1.111712,0.527936,2.156319,1.173539,0.654149,5.3e-05,1.4e-05
52_IS_Techno_PHS_gwp50,PHS,49.92999999999996,,6.499822,,,178.422954,1.79947,2.543658,2.137024,0.86633,1.267915,4.3e-05,1.2e-05
53_IS_Techno_PHS_gwp51,PHS,50.729999999999954,,6.499887,,,176.981673,1.47438,2.21457,3.429891,0.777329,0.983271,7.2e-05,2.1e-05
54_IS_Techno_PHS_gwp52,PHS,51.52999999999995,,6.499857,,,178.671634,1.3256,1.827659,15.131658,1.598053,1.466195,4.5e-05,1.5e-05
55_IS_Techno_PHS_gwp52,PHS,52.32999999999995,,6.499936,,,177.052931,4.329074,1.453018,1.817116,7.426042,2.031376,2.9e-05,9e-06
56_IS_Techno_PHS_gwp53,PHS,53.129999999999946,,6.499719,,,176.976289,2.698466,4.727205,2.350524,2.256644,1.459034,9.3e-05,3.1e-05
57_IS_Techno_PHS_gwp54,PHS,53.92999999999994,,6.49952,,,182.095361,12.01786,2.702129,2.069967,6.685793,3.217739,3.7e-05,1.1e-05
58_IS_Techno_PHS_gwp55,PHS,54.72999999999994,,6.499876,,,177.003016,1.877785,7.090606,9.579116,6.107357,1.973793,3.4e-05,1.1e-05
59_IS_Techno_PHS_gwp56,PHS,55.52999999999994,,6.49994,,,177.255354,1.982167,2.3137,1.308013,1.487082,1.662049,1.7e-05,5e-06
60_IS_Techno_PHS_gwp56,PHS,56.329999999999934,,6.499774,,,176.978694,12.006189,3.95579,6.37102,3.676969,4.497189,5.4e-05,1.7e-05
61_IS_Techno_PHS_gwp57,PHS,57.12999999999993,,6.499999,,,183.272681,3.007635,1.23789,2.907135,4.170621,1.867973,1e-06,0.0
62_IS_Techno_PHS_gwp58,PHS,57.92999999999993,,6.4996,,,179.442489,5.459762,2.501197,1.418931,2.291557,0.513522,7.6e-05,2.8e-05
63_IS_Techno_PHS_gwp59,PHS,58.729999999999926,,6.499715,,,179.609089,4.657409,9.09248,1.949116,1.606546,4.96729,2.5e-05,8e-06
64_IS_Techno_PHS_gwp60,PHS,59.52999999999992,,6.499734,,,194.806311,5.886879,4.521436,3.768421,3.350122,4.733519,2.3e-05,8e-06
65_IS_Techno_PHS_gwp60,PHS,60.32999999999992,,6.499813,,,188.014623,3.935976,8.833856,3.265824,1.240264,1.676743,1e-05,3e-06
66_IS_Techno_PHS_gwp61,PHS,61.12999999999992,,6.499775,,,177.162858,1.793107,1.790324,1.260679,1.703124,0.294748,2.4e-05,8e-06
67_IS_Techno_PHS_gwp62,PHS,61.92999999999992,,6.499914,,,176.984469,9.399441,3.252768,6.944037,4.940197,3.379169,1.2e-05,4e-06
68_IS_Techno_PHS_gwp63,PHS,62.72999999999991,,6.499811,,,181.268531,4.840042,0.818822,3.78975,2.449359,1.805678,2.4e-05,7e-06
69_IS_Techno_PHS_gwp64,PHS,63.52999999999991,,6.499514,,,187.041141,0.791105,0.801906,0.852669,1.03737,0.858628,3.7e-05,1.2e-05
70_IS_Techno_PHS_gwp64,PHS,64.32999999999991,,6.499805,,,177.011873,4.599101,1.240897,3.63581,1.457335,5.022738,1e-05,3e-06
71_IS_Techno_PHS_gwp65,PHS,65.12999999999991,,6.499258,,,176.979534,6.401743,1.786306,17.037825,5.534941,2.891351,3.9e-05,1.2e-05
72_IS_Techno_PHS_gwp66,PHS,65.92999999999991,,6.499338,,,185.344242,5.948517,6.840258,5.496716,2.975583,3.333382,6e-05,1.8e-05
73_IS_Techno_PHS_gwp67,PHS,66.7299999999999,,6.499846,,,177.064893,3.727769,1.150231,7.163865,3.667422,2.697465,2.4e-05,8e-06
74_IS_Techno_PHS_gwp68,PHS,67.5299999999999,,6.499464,,,177.025697,1.167688,2.87354,0.272426,1.039862,0.938928,3.7e-05,1.2e-05
75_IS_Techno_PHS_gwp68,PHS,68.3299999999999,,6.499644,,,177.156221,4.221535,3.987402,3.9026,4.047501,3.235095,2.2e-05,7e-06
76_IS_Techno_PHS_gwp69,PHS,69.1299999999999,,6.499932,,,176.995229,5.723955,1.600679,5.027225,2.50698,1.689077,2.5e-05,9e-06
77_IS_Techno_PHS_gwp70,PHS,69.9299999999999,,6.499847,,,177.654294,5.846421,1.755789,6.683167,3.488918,3.634808,2.9e-05,9e-06
78_IS_Techno_PHS_gwp71,PHS,70.72999999999989,,6.499875,,,177.507003,5.874385,0.983666,11.131143,3.536538,4.808689,6e-06,2e-06
79_IS_Techno_PHS_gwp72,PHS,71.52999999999989,,6.498635,,,178.624403,1.521497,1.781614,0.775647,2.46501,1.806791,6.5e-05,2.3e-05
80_IS_Techno_PHS_gwp72,PHS,72.32999999999988,,6.499904,,,176.992903,2.055255,1.968331,1.815895,1.866317,1.1731,2e-05,6e-06
81_IS_Techno_PHS_gwp73,PHS,73.12999999999988,,6.498846,,,177.001746,4.282956,1.781183,2.310452,1.867451,2.289732,5.9e-05,1.6e-05
82_IS_Techno_PHS_gwp74,PHS,73.92999999999988,,6.499958,,,179.835864,1.120869,4.010796,0.316771,1.837513,1.502166,7e-06,2e-06
83_IS_Techno_PHS_gwp75,PHS,74.72999999999988,,6.49966,,,179.6364,1.403562,12.590129,1.120695,2.140311,0.301797,1e-05,3e-06
84_IS_Techno_PHS_gwp76,PHS,75.52999999999987,,6.499935,,,179.813163,2.714426,1.364364,1.471752,1.62069,1.892454,1e-05,3e-06
85_IS_Techno_PHS_gwp76,PHS,76.32999999999987,,6.49907,,,178.437759,1.912987,2.018954,0.737855,1.308153,1.425931,3.7e-05,1.1e-05
86_IS_Techno_PHS_gwp77,PHS,77.12999999999987,,6.499135,,,176.98858,7.446679,2.657428,2.763461,17.224914,3.200576,3.1e-05,9e-06
87_IS_Techno_PHS_gwp78,PHS,77.92999999999986,,6.49989,,,176.993071,2.129165,1.403226,21.187706,1.746258,1.210906,1.6e-05,5e-06
88_IS_Techno_PHS_gwp79,PHS,78.72999999999986,,6.498086,,,176.978616,3.001984,1.769548,2.158623,4.092327,1.646276,7.7e-05,2.2e-05
