Scenario,TechnoModifiee,GWP,Technology,Capacity
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_COGEN_OIL,0.000173
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_ADVCOGEN_GAS,0.000173
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_ADVCOGEN_H2,0.000173
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_BOILER_GAS,0.000174
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_BOILER_WOOD,0.000174
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DEC_BOILER_OIL,0.000174
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DHN_DAILY,0.000521
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_DHN_SEASONAL,896.900484
Techno_BATT_LI_gwp46,BATT_LI,46.0,TS_HIGH_TEMP,70.118842
Techno_BATT_LI_gwp46,BATT_LI,46.0,GAS_STORAGE,0.005453
Techno_BATT_LI_gwp46,BATT_LI,46.0,H2_STORAGE,0.002179
Techno_BATT_LI_gwp46,BATT_LI,46.0,DIESEL_STORAGE,1.802791
Techno_BATT_LI_gwp46,BATT_LI,46.0,GASOLINE_STORAGE,1.81331
Techno_BATT_LI_gwp46,BATT_LI,46.0,LFO_STORAGE,1.783402
Techno_BATT_LI_gwp46,BATT_LI,46.0,AMMONIA_STORAGE,1.789664
Techno_BATT_LI_gwp46,BATT_LI,46.0,METHANOL_STORAGE,1.796509
Techno_BATT_LI_gwp51,BATT_LI,51.0,BATT_LI,48.045916
Techno_BATT_LI_gwp51,BATT_LI,51.0,BEV_BATT,2e-06
Techno_BATT_LI_gwp51,BATT_LI,51.0,PHEV_BATT,1e-06
Techno_BATT_LI_gwp51,BATT_LI,51.0,PHS,6.499987
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_DIRECT_ELEC,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_HP_ELEC,60.71263
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_THHP_GAS,3.1e-05
Techno_BATT_LI_gwp51,BATT_LI,51.0,TS_DEC_COGEN_GAS,3.1e-05
